Org,Action,Org
JAT Holdings,established as,leader
WHITE,expanding by,initiatives
JAT,going for,IPO
JAT,going in,future
JAT,is With,presence
LB Finance PLC,appointed to,Board
LB Finance PLC,appointed as,Director
the Board of Directors,comprises With,appointment
the Board of Directors,comprises of,Gunawardena
the Colombo Stock Exchange,approving in,principle
Dialog Finance’s,assets per,share
Dialog Finance’s,assets as,at
Softlogic Finance,backed by,way
Softlogic Finance’s,book of,Billion
Central Banks,SLDR of,%
CBSL,holding of,Securities
MMBL Money Transfer,increased by,%
MMBL Money Transfer,increased notwithstanding,epidemic
MMBL Money Transfer,provides with,network
Third Party Administration,supports in,services
Clicklife,reinforces with,solutions
Union Assurance,continues With,branches
Commercial Bank of Ceylon,named among,giants
The Banker,magazine of,UK
Banker,ranks on,primarily
Banker,ranks on,basis
Banker,ranks from,1
Banker,ranks from,to
Banker,ranks on,primarily
Banker,ranks on,capital
Commercial Bank of Ceylon,ended with,assets
The Central Bank,made on,Monday
The Central Bank,made according,to
Government,starving of,exchange
the Central Bank,printing Due,to
the Central Bank,printing Due,drop
Government,address given,tied
Government,address for,start
National Development Bank,Head of,Compliance
The Chamber Academy,joined with,Ltd.
National Development Bank,Head of,Compliance
Citizens Development Business Finance PLC,began in,Kurunegala
Citizens Development Business Finance PLC,began with,ceremony
CDB,portfolio of,products
Commercial Leasing & Finance PLC,recorded In,performance
Commercial Leasing & Finance PLC,recorded despite,challenges
CLC,recorded In,contrast
CLC,recorded with,downturn
CLC,has Despite,portfolio
CLC,is on,drive
CLC,launching through,introduction
CLC,leverage on,platform
the LOLC Group’s,performance in,year
CLC,ranked in,brands
CLC,reaffirmed During,year
CLC,reaffirmed as,stable
CBSL,holding of,securities
National Development Bank PLC,named in,addition
NDB,felicitated with,Bank
NDB,felicitated in,addition
NDB,felicitated with,Segment
NDB,introduced For,instance
NDB,introduced during,time
NDB,plays With,decades
NDB,crowned as,Bank
NDB,crowned at,Awards
Asiamoney,Awards for,Lanka
NDB,crowned as,Bank
People’s Bank Dankotuwa Branch,moved to,location
People’s Bank Dankotuwa Branch,moved on,June
IFAC,Federation of,Accountants
the Chartered Institute of Public Finance and Accountancy,Federation of,Accountants
CIPFA,Institute of,Finance
IPSAS,provide for,governments
The Colombo Stock Exchange,Top from,left
The Colombo Stock Exchange,Top from,(
The Colombo Stock Exchange,Top from,left
The Colombo Stock Exchange,Top from,):
The Colombo Stock Exchange,Top from,Beddage
Acuity Partners Ltd.,elaborated on,process
Chrissworld Ltd.,  Ltd.,As
Chrissworld Ltd.,  Ltd.,","
Chrissworld Ltd.,  Ltd.,Chrissworld
Chrissworld Ltd.,  Ltd.,","
Chrissworld Ltd.,  Ltd.,Ltd.
Atarah Capital Partners Ltd.,Ltd. As,advisors
CSE,Head of,Origination
the Colombo Bourse,remained amidst,turnover
NDB Securities,said as,highest
Union Assurance PLC,served as,Officer
NDB Wealth Management Ltd.,served as,President
NDB Wealth Management Ltd.,served for,years
Comtrust,is Given,advice
DFCC Bank PLC,Bank of,Ceylon
DFCC Bank PLC,Bank of,PLC
People’s Leasing &,Company of,PLC
Sampath Bank,was with,approvals
Corporate Finance Unit,specialises in,structuring
CBSL,holding of,Securities
NDB,taken with,partnership
Fitch,deems as,having
Fitch,downgraded in,March
NDB Bank,partnered with,platform
NDB Bank,partnered in,order
NDB Bank,tied in,effort
NDB Bank,tied with,platform
NDB Bank,tied in,order
NDB,been during,Even
NDB,been during,one
NDB,been at,forefront
SL@100,work with,firms
SL@100,work in,optimising
USAID,Agency for,Development
NDB,provide As,Partner
NDB,provide to,companies
NDB,collaborate In,addition
NDB,collaborate on,hosting
USAID,Director for,Lanka
NDB,partnered Under,initiative
NDB,partnered with,number
Bank,tied with,Maersk
Bank,tied as,means
Bank,tied in,addition
NDB,linking Through,this
NDB,linking with,EDB
Bank,crowned as,Bank
NDB Group,positioned towards,assisting
USAID,provided for,years
The US Government,invested since,1956
USAID,work in,Lanka
SDB bank’s,growth for,period
NDB Investment Bank Ltd.,advising as,Advisors
NDB Investment Bank Ltd.,advising to,SPO
SDB bank,advised on,listing
SDB bank,advised amongst,transactions
SDB bank’s,support of,SMEs
CBSL,holding of,securities
HNB,departments of,bank
HNB,Head of,Leasing
HNB,facilitated Through,officers
HNB,facilitated through,initiative
the CFA Society Sri Lanka,leading On,back
the CFA Society Sri Lanka,leading in,helping
RBC Global Asset Management,Manager of,Equities
the CFA Institute’s,Certificate in,Investing
MAS Holdings,Head of,Sustainability
State,commitment to,maintaining
Prime Lands Residencies,commenced As,addition
KPMG,summary on,taxation
Global Reporting Initiative,organising Following,success
Global Reporting Initiative,organising in,collaboration
Global Reporting Initiative,organising on,17
Global Reporting Initiative,organising on,","
Global Reporting Initiative,organising from,a.m.
Global Reporting Initiative,organising from,to
GRI,pioneered in,1990s
GRI,working with,UN
CASL,Institute of,Accountants
SEC,Commission of,Lanka
GRI South Asia,engaged in,collaboration
GRI South Asia,engaged with,companies
GRI South Asia,engaged through,series
CSE,launched in,collaboration
Association of Alternate Financial Institutions,partnered with,organisation
AAFI,Association of,Institutions
AAFI,formed in,2015
AAFI,formed for,purpose
CBSL,holding of,securities
Ceylinco Life,ranked in,2021
Ceylinco Life,ranked in,edition
Brand Finance,rankings of,brands
Ceylinco Life,leader for,years
Brand Finance,bridges by,quantifying
Ceylinco Life,been for,half
ICCSL,Chamber of,Commerce
CIMA,Institute of,Accountants
NDB Bank,holds with,Solutions
Bank,made in,landscape
NDB Bank,be With,vKYC
NDB Bank,chosen for,expertise
OneConnect,chosen for,expertise
NDB Banks,tap on,need
Norfund,appointed to,Board
Norfund,appointed following,investment
The Norwegian Investment Fund for developing countries,focuses on,businesses
Norfund,Fund for,countries
The Financial Intelligence Unit,issued updating,inter
The Financial Intelligence Unit,issued updating,-
The Financial Intelligence Unit,issued updating,related
The Financial Intelligence Unit,issued updating,of
The Financial Intelligence Unit,issued updating,as
CBSL,Bank of,Lanka
Bank of Ceylon,recorded by,reaching
BOC,Bank of,Ceylon
BOC,become in,Lanka
BOC,expanded From,branch
BOC,expanded to,network
BOC,operates in,London
Bank of Ceylon,taken In,terms
BOC,invested in,keeping
BOC,expanded In,addition
BOC,expanded beyond,mark
BOC,expanded over,year
BOC,demonstrated over,years
Central Banks,SDFR of,%
Central Banks,SLFR of,%
Central Banks,SDFR of,LKR
Lanka,sign at,outlet
Bank,hotline on,800
Norfund,bring on,board
CIMA,Institute of,Accountants
CIMA,Institute in,Lanka
the Bangladesh Central Bank,opt for,loan
S&P,cut to,‘
S&P,cut to,CCC+
S&P,cut from,B-
S&P,cut from,’
S&P,cut from,for
the Bangladesh Central Bank,opt for,loan
BCB,grant at,interest
Union Assurance,forges Despite,ambiguity
Union Assurance,forges on,transformation
Union Assurance,forges with,solutions
First Capital Holdings PLC,upgraded to,[
First Capital Holdings PLC,upgraded to,SL]A
First Capital Holdings PLC,upgraded with,outlook
First Capital Holdings,declared in,March
First Capital Holdings Board,comprises of,Fernando
Colombo Stock Exchange,launched on,May.
NDB Investment Bank,come as,partner
NDB Investment Bank,President of,Advisory
NDB Investment Bank,Manager of,Advisory
PLC,branched Since,inception
PLC,branched to,part
PLC,branched with,network
PLC,branched by,2021
PLC,employs across,roles
PLC,has among,companies
PLC,digitise for,convenience
PLC,hold as,benchmark
CBSL,holding of,Securities
Wealth Trust SecuritiesThe,sentiment at,auctions
OECD,Organisation for,Cooperation
G20,Organisation for,Cooperation
G7,group of,nations
G20,session in,July
G20,session in,Venice
SDB bank’s,relationship with,Fiserv
SDB bank’s,incorporation of,features
Signature,platform from,Fiserv
SDB bank’s,adoption of,iteration
Fiserv,Manager of,India
SDB bank’s,position as,trailblazer
Bank of Ceylon,adopts through,unit
BOC,Bank of,Ceylon
Government,assist with,agenda
Government,assist under,scheme
The Bank of Ceylon,commenced in,January
Kumara,concluded with,note
EU Commission,headquarters in,Brussels
Bourse,commenced in,territory
Bourse,commenced following,sessions
Dipped Products,included amongst,contributors
LMD,Publication for,2021
Sampath Bank,climbed In,rankings
Sampath Bank,climbed to,place
Sampath Bank,climbed from,ranking
Bank,ranked among,Brands
Bank,introduced Over,years
FMO,worked with,Bank
FMO,worked since,2004
Bank,provide with,access
FMO,appetite on,Bank
Nations Trust Bank,boost By,contributing
Nations Trust Bank,engaged Towards,achieving
Nations Trust Bank,engaged with,businesses
Nations Trust Bank,disbursed towards,fund
Blackrock’s,firm with,trillion
MSTR,announced in,June
the Financial Crimes Enforcement Network,reduced from,"3,000"
the Financial Crimes Enforcement Network,reduced to,250
Greenback,Trust In,God
Bitcoin,protect against,expropriation
BlackRock,Bank of,Canada
HSBC,Bank of,Lanka
HSBC,Bank in,Lanka
HNB Assurance,been for,decades
Union Assurance PLC,recognised as,Brand
Union Assurance PLC,recognised in,Lanka
Union Assurance PLC,recognised for,"2021,Union"
Union Assurance,harnessed Despite,challenges
Brand,philosophy of,protecting
Union Assurance,continues With,branches
CBSL,Bank of,Lanka
HNB,Head of,Marketing
HNB,introduced During,period
HNB,introduced to,Solo
HNB,introduced including,option
Solo,witnessed with,improvements
Central Depository Systems,offers during,COVID
CDS,diversified on,ends
CDS,diversified over,evolution
CDS,positioned With,contributions
CDS,positioned as,enabler
CDS,placed with,experience
CDS,placed in,disposition
CDS,equipped with,capability
Chrissworld Ltd.,listing at,CSE
CDS,approach to,diversification
CDS,advanced by,launching
CDS,leverage on,technology
CDS,offered In,striving
CDS,handled to,some
Asia Asset Finance PLC,gained with,resilience
AAF,expects with,expansion
the Google Play Store,from for,users
National Development Bank PLC,hosted on,May
NDB,achieved amidst,conditions
Sri Lanka Vanithabhimana,culminated in,March
NDB,crowned as,Bank
NDB Group,positioned towards,assisting
Government,borrowings along,with
NBER,Bureau of,Research
NBER,Bureau under,direction
University of Manchester,University of,California
University of Lund,University of,Manchester
Central Bank of Sri Lanka,Director of,Statistics
Chrissworld,Congratulating for,taking
Chrissworld,congratulated on,achieving
Chrissworld Limited,congratulate for,getting
the Bank for Everyone,launched in,response
DFCC Bank,allows In,case
DFCC Bank,offers As,convenience
DFCC Bank,offers at,service
MBSL,Bank of,Lanka
MBSL,said In,statement
”MBSL,entered as,bank
”MBSL,entered in,1982
MBSL,caters to,range
MBSL,caters through,activities
MBSL,caters through,network
Citizens Development Business Finance PLC,empowering by,providing
HNB,demonstrated during,year
HNB Group,recorded for,quarter
HNB,is among,Banks
HNB,is as,per
Amãna Bank,recognised with,awards
Amãna Bank,adjudicate as,Bank
Fitch Ratings,affirmed to,BB+(lka
Fitch Ratings,affirmed to,)
Fitch Ratings,affirmed with,outlook
MAS Holdings,concluded After,evaluation
MAS Holdings,concluded After,identify
MAS Holdings,concluded with,Rizing
MAS Holdings,concluded on,May.
Bank,role as,advisor
MAS Holdings,help in,completion
MAS Holdings,select through,evaluation
Standard Chartered,played ”In,addition
Standard Chartered,played in,process
SC Sri Lanka,connected with,network
Bank,advised in,divestment
Bank,advised in,years
MAS Holdings,advised in,divestment
MAS Holdings,advised in,years
Bank,advised In,addition
Bank,advised in,divestment
LafargeHolcim,advised In,addition
LafargeHolcim,advised in,divestment
